Name,Lat,Lng,Type
Yellowknife Airport,62.462799072265625,-114.44000244140625,airport
Slave Lake Airport,55.2930984497,-114.777000427,airport
Sandspit Airport,53.25429916379999,-131.813995361,airport
Chris Hadfield Airport,42.9994010925293,-82.30889892578125,airport
Port Hardy Airport,50.680599212646484,-127.36699676513672,airport
Whitecourt Airport,54.14390182495117,-115.78700256347656,airport
Sept-Îles Airport,50.22330093383789,-66.2656021118164,airport
Teslin Airport,60.17279815673828,-132.7429962158203,airport
CFB Greenwood,44.98440170288086,-64.91690063476562,airport
Faro Airport,62.20750045776367,-133.37600708007812,airport
Fort Mcpherson Airport,67.40750122070312,-134.86099243164062,airport
Blida Airport,36.50360107421875,2.8141698837280273,airport
Bou Saada Airport,35.33250045776367,4.206389904022217,airport
Soummam Airport,36.7120018005,5.0699200630200005,airport
Houari Boumediene Airport,36.691001892089844,3.215409994125366,airport
Djanet Inedbirene Airport,24.292800903299998,9.45244026184,airport
Boufarik Airport,36.545799,2.87611,airport
Reggane Airport,26.710100173950195,0.2856470048427582,airport
Illizi Takhamalt Airport,26.7234992981,8.62265014648,airport
Ain Oussera Airport,35.52539825439453,2.8787100315093994,airport
Aguenar – Hadj Bey Akhamok Airport,22.8115005493,5.45107984543,airport
Jijel Ferhat Abbas Airport,36.7951011658,5.87361001968,airport
Mecheria Airport,33.535900116,-0.242353007197,airport
Relizane Airport,35.752201080322266,0.6262720227241516,airport
Annaba Airport,36.822200775146484,7.809169769287109,airport
Mohamed Boudiaf International Airport,36.2760009765625,6.620389938354492,airport
Cheikh Larbi Tébessi Airport,35.4315986633,8.12071990967,airport
Hassi R'Mel Airport,32.93040084838867,3.311539888381958,airport
Bou Chekif Airport,35.3410987854,1.46315002441,airport
Bou Sfer Airport,35.73540115356445,-0.8053889870643616,airport
Tindouf Airport,27.7003993988,-8.167099952700001,airport
Ech Cheliff Airport,36.2126998901,1.33176994324,airport
Tafaraoui Airport,35.54240036010742,-0.5322780013084412,airport
Zenata – Messali El Hadj Airport,35.0167007446,-1.45000004768,airport
Es Senia Airport,35.6239013672,-0.6211829781529999,airport
Sidi Bel Abbes Airport,35.1717987061,-0.593275010586,airport
Ghriss Airport,35.207698822021484,0.14714199304580688,airport
Touat Cheikh Sidi Mohamed Belkebir Airport,27.837600708007812,-0.18641400337219238,airport
Biskra Airport,34.793300628699996,5.73823022842,airport
El Golea Airport,30.571300506591797,2.8595900535583496,airport
Noumérat - Moufdi Zakaria Airport,32.38410186767578,3.794110059738159,airport
Oued Irara Airport,31.673000335699996,6.140439987180001,airport
In Salah Airport,27.250999450699997,2.51202011108,airport
Touggourt Sidi Madhi Airport,33.06779861450195,6.088669776916504,airport
Laghouat Airport,33.764400482199996,2.92833995819,airport
Timimoun Airport,29.2371006012,0.276033014059,airport
Ain el Beida Airport,31.917200088500977,5.412779808044434,airport
In Aménas Airport,28.0515003204,9.64291000366,airport
Cadjehoun Airport,6.357230186462402,2.384350061416626,airport
Ouagadougou Airport,12.35319995880127,-1.5124200582504272,airport
Bobo Dioulasso Airport,11.160099983215332,-4.33096981048584,airport
Kotoka International Airport,5.605189800262451,-0.16678600013256073,airport
Tamale Airport,9.55718994140625,-0.8632140159606934,airport
Wa Airport,10.0826997756958,-2.507689952850342,airport
Sunyani Airport,7.361830234527588,-2.3287599086761475,airport
Takoradi Airport,4.896059989929199,-1.7747600078582764,airport
Port Bouet Airport,5.261390209197998,-3.9262900352478027,airport
Bouaké Airport,7.738800048828125,-5.073669910430908,airport
Daloa Airport,6.792809963226318,-6.473189830780029,airport
Korhogo Airport,9.38718032837,-5.55666017532,airport
Man Airport,7.272069931030273,-7.58735990524292,airport
San Pedro Airport,4.746719837188721,-6.660820007324219,airport
Yamoussoukro Airport,6.9031701088,-5.36558008194,airport
Nnamdi Azikiwe International Airport,9.006790161132812,7.263169765472412,airport
Akure Airport,7.246739864349365,5.3010101318359375,airport
Benin Airport,6.316979885101318,5.5995001792907715,airport
Margaret Ekpo International Airport,4.976019859313965,8.347200393676758,airport
Akanu Ibiam International Airport,6.474269866943359,7.561960220336914,airport
Gusau Airport,12.171699523925781,6.696109771728516,airport
Ibadan Airport,7.362460136413574,3.97832989692688,airport
Ilorin International Airport,8.440210342407227,4.493919849395752,airport
Yakubu Gowon Airport,9.639829635620117,8.869050025939941,airport
Kaduna Airport,10.696000099182129,7.320109844207764,airport
Mallam Aminu International Airport,12.047599792480469,8.524620056152344,airport
Maiduguri International Airport,11.855299949645996,13.080900192260742,airport
Makurdi Airport,7.7038798332214355,8.613940238952637,airport
Murtala Muhammed International Airport,6.5773701667785645,3.321160078048706,airport
Minna Airport,9.652170181274414,6.462259769439697,airport
Port Harcourt International Airport,5.0154900550842285,6.94959020614624,airport
Sadiq Abubakar III International Airport,12.916299819946289,5.207190036773682,airport
Yola Airport,9.257550239562988,12.430399894714355,airport
Zaria Airport,11.130200386047363,7.685810089111328,airport
Maradi Airport,13.5024995803833,7.1267499923706055,airport
Diori Hamani International Airport,13.481499671936035,2.183609962463379,airport
Tahoua Airport,14.875699996948242,5.265359878540039,airport
Mano Dayak International Airport,16.965999603271484,8.000109672546387,airport
Dirkou Airport,18.968700408935547,12.86870002746582,airport
Diffa Airport,13.372900009155273,12.626700401306152,airport
Zinder Airport,13.779000282287598,8.983759880065918,airport
Monastir Habib Bourguiba International Airport,35.75809860229492,10.75469970703125,airport
Tunis Carthage International Airport,36.85100173950195,10.22719955444336,airport
Sidi Ahmed Air Base,37.2453994751,9.79144954681,airport
Remada Air Base,32.30619812011719,10.382100105285645,airport
Gafsa Ksar International Airport,34.422000885009766,8.822500228881836,airport
Gabès Matmata International Airport,33.87689971923828,10.103300094604492,airport
Borj El Amri Airport,36.72129821777344,9.94314956665039,airport
Djerba Zarzis International Airport,33875,10.775500297546387,airport
El Borma Airport,31.704299926757812,9.254619598388672,airport
Sfax Thyna International Airport,34.71799850463867,10.690999984741211,airport
Tozeur Nefta International Airport,33.939701080322266,8.110560417175293,airport
Niamtougou International Airport,9.767330169677734,1.091249942779541,airport
Lomé-Tokoin Airport,6.165609836578369,1.2545100450515747,airport
Antwerp International Airport (Deurne),51.1893997192,4.46027994156,airport
Beauvechain Air Base,50.75859832763672,4.768330097198486,airport
Kleine Brogel Air Base,51.168301,5.47,airport
Brussels Airport,50.901401519800004,4.48443984985,airport
Jehonville Air Base,49.891700744628906,5.2238898277282715,airport
Brussels South Charleroi Airport,50.459201812699995,4.45382022858,airport
Chièvres Air Base,50.575801849365234,3.8310000896453857,airport
Koksijde Air Base,51.090301513671875,2.652780055999756,airport
Florennes Air Base,50.2433013916,4.64583015442,airport
Wevelgem Airport,50.817199707,3.20472002029,airport
Liège Airport,50.63740158081055,5.443220138549805,airport
Ostend-Bruges International Airport,51.198898315399994,2.8622200489,airport
Zutendaal Air Base,50.9474983215332,5.590559959411621,airport
Limburg Regional Airport,50.791900634799994,5.20167016983,airport
Saint Hubert Air Base,50.034400939941406,5.440810203552246,airport
Ursel Air Base,51.14419937133789,3.475559949874878,airport
Weelde Air Base,51.394798278808594,4.9601898193359375,airport
Oostmalle Air Base,51.264702,4.75333,airport
Bautzen Airport,51.19361114501953,14.519721984863281,airport
Altenburg-Nobitz Airport,50.9819450378418,12.506388664245605,airport
Dessau Airport,51.831693541,12.1909618378,airport
Eisenhüttenstadt Airport,52.195856,14.58753,airport
Großenhain Airport,51.30805587768555,13.555556297302246,airport
Merseburg Airport,51.3630556,11.9408333,airport
Halle-Oppin Airport,51.552223,12.053889,airport
Riesa-Göhlis Airport,51.2936096191,13.3561105728,airport
Rechlin-Lärz Airport,53.306388855,12.7522220612,airport
Strausberg Airport,52.5805549621582,13.916666984558105,airport
Schönhagen Airport,52.2036094666,13.1563892365,airport
Barth Airport,54.338253,12.710515,airport
Jena-Schöngleina Airport,50.915279388427734,11.714444160461426,airport
Kyritz Airport,52.918888092041016,12.425277709960938,airport
"Magdeburg \""City\"" Airport",52.073612,11.626389,airport
Rothenburg/Görlitz Airport,51.36333465576172,14.949999809265137,airport
Anklam Airport,53.83277893066406,13.668610572814941,airport
Cottbus-Drewitz Airport,51.889442,14.531944,airport
Kamenz Airport,51.29694366455078,14.1274995803833,airport
Berlin-Schönefeld International Airport,52.380001068115,13.522500038147,airport
Dresden Airport,51.1328010559082,13.767200469970703,airport
Erfurt Airport,50.979801177978516,10.958100318908691,airport
Frankfurt am Main International Airport,50.0333333,8.5705556,airport
Münster Osnabrück Airport,52.134601593,7.68483018875,airport
Hamburg Airport,53.630401611328,9.9882297515869,airport
Berlin-Tempelhof International Airport,52.472999572753906,13.403900146484375,airport
Cologne Bonn Airport,50.8658981323,7.1427397728,airport
Düsseldorf International Airport,51.28950119018555,6.766779899597168,airport
Munich International Airport,48.353801727295,11.786100387573,airport
Nuremberg Airport,49.498699,11.0780556,airport
Leipzig Halle Airport,51.4238889,12.2363889,airport
Saarbrücken Airport,49.214599609400004,7.10950994492,airport
Stuttgart Airport,48.689899444599995,9.22196006775,airport
Berlin-Tegel International Airport,52.5597000122,13.2876996994,airport
Hannover Airport,52.461101532,9.685079574580001,airport
Bremen Airport,53.0475006104,8.78666973114,airport
Frankfurt-Egelsbach Airport,49.959999084472656,8.645833015441895,airport
Frankfurt-Hahn Airport,49.948699951200005,7.263889789579999,airport
Mannheim-City Airport,49.47305679321289,8.514166831970215,airport
Allendorf/Eder Airport,51.03499984741211,8.680832862854004,airport
Worms Airport,49.606945,8.368333,airport
Mainz-Finthen Airport,49.967499,8.147222,airport
Eisenach-Kindel Airport,50.991604,10.47973,airport
Siegerland Airport,50.707698822021484,8.082969665527344,airport
Hamburg-Finkenwerder Airport,53.5352783203125,9.835556030273438,airport
Kiel-Holtenau Airport,54.37944412231445,10.145277976989746,airport
Lübeck Blankensee Airport,53.8054008484,10.7192001343,airport
Flugplatz Dahlemer Binz,50.405555725,6.5288891792,airport
Meinerzhagen Airport,51.099998474121094,7.599999904632568,airport
Arnsberg-Menden Airport,51.483890533447266,7.8983330726623535,airport
Essen Mulheim Airport,51.40230178833008,6.9373297691345215,airport
Bielefeld Airport,51.9647216797,8.544444084170001,airport
Mönchengladbach Airport,51.23027801513672,6.504444122314453,airport
Paderborn Lippstadt Airport,51.614101409899995,8.616319656369999,airport
Stadtlohn-Vreden Airport,51.99583435058594,6.8405561447143555,airport
Dortmund Airport,51.51829910279999,7.61223983765,airport
Augsburg Airport,48.425278,10.931667,airport
Biberach a.d. Riß Airport,48.11111068725586,9.762778282165527,airport
Eggenfelden Airport,48.39611053466797,12.723610877990723,airport
Mindelheim-Mattsies Airport,48.1069450378418,10.524999618530273,airport
Oberpfaffenhofen Airport,48.08140182495117,11.283100128173828,airport
Straubing Airport,48.90083312988281,12.516667366027832,airport
Vilshofen Airport,48.6349983215332,13.195555686950684,airport
Leutkirch-Unterzeil Airport,47.858890533447266,10.014166831970215,airport
Friedrichshafen Airport,47.671298980699994,9.51148986816,airport
Schwerin Parchim Airport,53.426998,11.7834,airport
Stendal-Borstel Airport,52.62888717651367,11.818611145019531,airport
Aalen-Heidenheim/Elchingen Airport,48.77777862548828,10.264721870422363,airport
Bayreuth Airport,49.98500061035156,11.640000343322754,airport
Burg Feuerstein Airport,49.794166564941,11.133610725403,airport
Hof-Plauen Airport,50.288612365722656,11.856389045715332,airport
Haßfurt-Schweinfurt Airport,50.0180549621582,10.529443740844727,airport
Koblenz-Winningen Airport,50.325557708740234,7.528611183166504,airport
Trier-Föhren Airport,49.863887786865234,6.787499904632568,airport
Speyer Airport,49.30472183227539,8.45138931274414,airport
Zweibrücken Airport,49.20940017700195,7.400559902191162,airport
Donaueschingen-Villingen Airport,47.97333145139999,8.52222156525,airport
Freiburg i. Br. Airport,48.022777557400005,7.83249998093,airport
Mengen-Hohentengen Airport,48.053890228271484,9.372777938842773,airport
Adolf Würth Airport,49.1183319092,9.783888816829998,airport
Finsterwalde/Schacksdorf Airport,51.607498,13.743611,airport
Braunschweig Wolfsburg Airport,52.319199,10.5561,airport
Kassel-Calden Airport,51.417273,9.384967,airport
Hildesheim Airport,52.18138885498047,9.946389198303223,airport
Bremerhaven Airport,53.506943,8.572778,airport
Emden Airport,53.391109466552734,7.227499961853027,airport
Leer-Papenburg Airport,53.271942138671875,7.441667079925537,airport
Wilhelmshaven-Mariensiel Airport,53.502220153808594,8.05222225189209,airport
Borkum Airport,53.5963897705,6.70916700363,airport
Norderney Airport,53.70694351196289,7.230000019073486,airport
Flensburg-Schäferhaus Airport,54.77333450317383,9.378889083862305,airport
Rendsburg-Schachtholm Airport,54.220001220703125,9.599444389343262,airport
Westerland Sylt Airport,54.9132003784,8.34047031403,airport
Ämari Air Base,59.26029968261719,24.208499908447266,airport
Kärdla Airport,58.99079895019531,22.830699920654297,airport
Kuressaare Airport,58.22990036010742,22.50950050354004,airport
Pärnu Airport,58.41899871826172,24.47279930114746,airport
Lennart Meri Tallinn Airport,59.41329956049999,24.832799911499997,airport
Tartu Airport,58.3074989319,26.690399169900004,airport
Enontekio Airport,68.362602233887,23.424299240112,airport
Eura Airport,61.1161003112793,22.201400756835938,airport
Halli Airport,61.856039,24.786686,airport
Helsinki Malmi Airport,60.254600524902344,25.042800903320312,airport
Helsinki Vantaa Airport,60.317199707031,24.963300704956,airport
Hameenkyro Airport,61.689701080322266,23.073699951171875,airport
Hanko Airport,59.848899841308594,23.083599090576172,airport
Hyvinkää Airfield,60.6543998718,24.8810997009,airport
Kiikala Airport,60.4625015259,23.6525001526,airport
Immola Airport,61.24919891357422,28.90369987487793,airport
Kitee Airport,62.1661,30.073601,airport
Ivalo Airport,68.607299804688,27.405300140381,airport
Joensuu Airport,62.662899017334,29.607500076294,airport
Jyvaskyla Airport,62.399501800537,25.678300857544,airport
Kauhava Airport,63.127102,23.051399,airport
Kemi-Tornio Airport,65.778701782227,24.582099914551,airport
Kajaani Airport,64.285499572754,27.692399978638,airport
Kauhajoki Airport,62.4625015259,22.3931007385,airport
Kokkola-Pietarsaari Airport,63.721199035645,23.143100738525,airport
Kemijarvi Airport,66.712898,27.156799,airport
Kuusamo Airport,65.987602233887,29.239400863647,airport
Kittilä Airport,67.700996398926,24.846799850464,airport
Kuopio Airport,63.007099151611,27.797800064087,airport
Lahti Vesivehmaa Airport,61.144199,25.693501,airport
Lappeenranta Airport,61.044601,28.144743,airport
Mariehamn Airport,60.122200012207,19.898199081421,airport
Menkijarvi Airport,62.94670104980469,23.51889991760254,airport
Mikkeli Airport,61.6866,27.201799,airport
Nummela Airport,60.333900451699996,24.2964000702,airport
Oulu Airport,64.930099487305,25.354600906372,airport
Piikajarvi Airport,61.245601654052734,22.19339942932129,airport
Pori Airport,61.461700439453,21.799999237061,airport
Pudasjärvi Airport,65.4021987915,26.946899414100002,airport
Pyhäsalmi Airport,63.7318992615,25.926300048799998,airport
Raahe Pattijoki Airport,64.6881027222,24.6958007812,airport
Rantasalmi Airport,62.0654983521,28.3565006256,airport
Rovaniemi Airport,66.564796447754,25.830400466919,airport
Rayskala Airport,60.74470138549805,24.107799530029297,airport
Savonlinna Airport,61.943099975586,28.945100784302,airport
Selanpaa Airport,61.062400817871094,26.798900604248047,airport
Sodankyla Airport,67.3949966431,26.6191005707,airport
Tampere-Pirkkala Airport,61.414100646973,23.604400634766,airport
Teisko Airport,61.7733,24027,airport
Turku Airport,60.514099121094,22.262800216675,airport
Utti Air Base,60.89640045166,26.938400268555,airport
Vaasa Airport,63.050701141357,21.762199401855,airport
Varkaus Airport,62.171100616455,27.868600845337,airport
Ylivieska Airfield,64.0547222,24.7252778,airport
Belfast International Airport,54.6575012207,-6.2158298492399995,airport
St Angelo Airport,54.39889907836914,-7.651669979095459,airport
George Best Belfast City Airport,54.618099212646484,-5.872499942779541,airport
City of Derry Airport,55.04280090332031,-7.161109924316406,airport
Birmingham International Airport,52.453899383499994,-1.74802994728,airport
Coventry Airport,52.3697013855,-1.4797199964499999,airport
Leicester Airport,52.6077995300293,-1.03193998336792,airport
Gloucestershire Airport,51.89419937133789,-2.167220115661621,airport
Wolverhampton Halfpenny Green Airport,52.51750183105469,-2.2594399452209473,airport
Cotswold Airport,51.668095,-2.05694,airport
